image_id,labels
sparse_residential_area_27,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_28,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_29,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_30,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_31,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_32,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_33,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_34,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_35,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_36,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_37,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_38,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_39,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_40,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_41,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_42,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_43,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_44,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_45,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_46,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_47,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_48,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_49,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_50,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_51,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_52,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_53,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_54,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_55,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_56,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_57,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_58,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_59,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_60,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_61,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_62,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_63,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_64,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_65,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_66,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_67,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_68,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_69,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_70,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_71,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_72,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_73,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_74,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_75,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_76,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_77,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_78,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_79,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_80,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_81,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_82,"['bare soil', 'buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_83,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_84,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_85,"['buildings', 'chaparral', 'field', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_86,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_87,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_88,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_89,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_90,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_91,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_92,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_93,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_94,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_95,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_96,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_97,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_98,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_99,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_100,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_101,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_102,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_103,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_104,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_105,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_106,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_107,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_108,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_109,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_110,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_111,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_112,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_113,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_114,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_115,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_116,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_117,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_118,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_119,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_120,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_121,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_122,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_123,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_124,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_125,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_126,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_127,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_128,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_129,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_130,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_131,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_132,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_133,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_134,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_135,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_136,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_137,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_138,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_139,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_140,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_141,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_142,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_143,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_144,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_145,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_146,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_147,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_148,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_149,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_150,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_151,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_152,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_153,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_154,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_155,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_156,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_157,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_158,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_159,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_160,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_161,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_162,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_163,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_164,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_165,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_166,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_167,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_168,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_169,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_170,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_171,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_172,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_173,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_174,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_175,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_176,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_177,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_178,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_179,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_180,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_181,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_182,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_183,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_184,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_185,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_186,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_187,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_188,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_189,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_190,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_191,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_192,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_193,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_194,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_195,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_196,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_197,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_198,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_199,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_200,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_201,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_202,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_203,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_204,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_205,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_206,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_207,"['buildings', 'chaparral', 'grass', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_208,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_209,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_210,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_211,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_212,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_213,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_214,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_215,"['buildings', 'chaparral', 'grass', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_216,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_217,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_218,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_219,"['buildings', 'chaparral', 'sand', 'sparse residential area', 'trees']"
sparse_residential_area_220,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
sparse_residential_area_221,"['buildings', 'chaparral', 'pavement', 'road', 'sand', 'sparse residential area', 'swimming pool', 'trees', 'water']"
